E,E_N,cov,E_N_B,P1,P2,P1P2,P1_E,P2_E,P1P2_E,P1_N,P2_N,P1P2_N,row,col,sumDMY,ADF,ADL,DMDig,NDF,NDFD,Prot,WSC
11,111,2,1115,27,5,275,2711,511,27511,271,51,2751,33,1,1561.4808,25.54413358,2.142170344,86.07722439,45.90273987,70.05107436,16.55674261,10.45339907
11,111,2,1115,48,52,4852,4811,5211,485211,481,521,48521,34,1,1631.99216,24.87066959,2.117891124,86.32076183,45.12015393,70.28007465,16.44516202,10.57961921
11,111,2,1115,43,78,4378,4311,7811,437811,431,781,43781,35,1,1615.2892,24.66199384,2.110205118,85.92914804,45.26971712,69.70846354,16.5333265,10.5998559
11,111,2,1115,79,34,7934,7911,3411,793411,791,341,79341,36,1,1806.38488,25.09395564,2.121049953,86.09085449,45.96626102,69.60248817,16.247738,10.79743758
11,111,2,1115,97,98,9798,9711,9811,979811,971,981,97981,37,1,1384.66704,23.22250285,1.869297388,88.20307381,43.66228775,72.89344622,17.34204758,11.5926694
11,111,2,1115,57,71,5771,5711,7111,577111,571,711,57711,38,1,1456.24256,24.30733523,2.005594454,87.5284207,44.51273415,71.19279686,16.97708464,10.27551143
11,111,2,1115,89,91,8991,8911,9111,899111,891,911,89911,39,1,1687.66368,24.12564906,2.006766188,86.77097851,44.11177235,70.54669091,17.52488906,10.67634683
11,111,2,1115,49,69,4969,4911,6911,496911,491,691,49691,40,1,1517.93744,24.24736048,2.011100755,86.89621863,44.68137131,71.56311361,17.34678685,10.79389363
11,111,9,1116,69,79,6979,6911,7911,697911,691,791,69791,41,1,1773.64072,24.74939469,2.016296111,86.02887805,44.89768493,71.34206575,16.32001475,12.09239751
11,111,9,1116,42,58,4258,4211,5811,425811,421,581,42581,42,1,1755.54888,24.39530791,2.055048555,86.40349296,43.46687307,69.08020584,17.03984705,12.6498676
11,111,9,1116,38,27,3827,3811,2711,382711,381,271,38271,43,1,2008.20512,25.26238466,2.108333801,85.83352516,44.370127,68.01248287,16.0537918,11.51226678
11,111,10,1116,89,101,89101,8911,10111,8910111,891,1011,891011,44,1,1611.02152,23.1251117,2.000628869,85.79333099,43.51320716,70.03369894,16.88058415,13.59697816
11,111,10,1116,104,101,104101,10411,10111,10410111,1041,1011,1041011,45,1,1686.04856,23.03670746,1.954606917,86.82481172,44.23611441,70.77404205,16.25800332,12.92090557
11,111,10,1116,76,80,7680,7611,8011,768011,761,801,76801,46,1,1623.78368,23.02323564,2.014620954,86.0120444,44.56376669,69.83898093,15.34221057,12.7709291
11,111,10,1116,40,45,4045,4011,4511,404511,401,451,40451,47,1,1646.95336,23.58009382,2.023268414,86.49637888,44.62782283,70.99971769,16.17301068,12.73735126
11,111,10,1116,87,57,8757,8711,5711,875711,871,571,87571,48,1,1546.39928,24.18093333,2.096406429,85.63764681,45.55049155,70.63591024,15.70379716,12.34558197
11,111,10,1117,15,68,1568,1511,6811,156811,151,681,15681,49,1,1630.94344,23.20860983,1.920623972,87.90281033,43.63326534,71.86567666,16.83519823,12.41854917
11,111,10,1117,35,29,3529,3511,2911,352911,351,291,35291,50,1,1891.6456,25.49762869,2.191627939,85.8937108,45.46224875,68.61593056,15.05558385,13.42193035
11,111,10,1117,78,80,7880,7811,8011,788011,781,801,78801,51,1,1707.83424,23.69201993,2.037265715,86.39489192,44.19295057,70.16883716,15.64193549,13.48546693
11,111,10,1117,4,25,425,411,2511,42511,41,251,4251,52,1,1859.61456,25.22190492,2.116498995,85.13674394,45.74116394,69.23268506,15.17232277,12.28883989
11,111,10,1117,38,52,3852,3811,5211,385211,381,521,38521,53,1,1709.2468,24.51417637,1.988983993,86.14019287,44.71294897,70.58167455,15.17292251,12.00996886
11,111,10,1117,12,22,1222,1211,2211,122211,121,221,12221,54,1,1589.19552,24.26162031,2.042946261,85.82801743,45.33763308,70.04955961,16.64611065,12.19986039
11,111,10,1117,64,43,6443,6411,4311,644311,641,431,64431,55,1,1873.93296,26.21639343,2.252225284,83.39137454,47.3628098,67.84037213,14.48046342,11.90800247
11,111,10,1117,45,69,4569,4511,6911,456911,451,691,45691,56,1,1589.79328,24.70327039,2.009365825,85.78174798,44.6435932,71.21385548,15.00193592,13.23201843
11,111,10,1118,91,93,9193,9111,9311,919311,911,931,91931,57,1,1656.76008,24.6735515,2.120122327,84.94686898,45.0802402,69.75118739,14.96969378,13.52054143
11,111,10,1118,59,12,5912,5911,1211,591211,591,121,59121,58,1,1831.34272,25.40885425,2.184776852,86.29654774,45.62111802,68.12919838,16.33795947,12.68376213
11,111,10,1118,58,77,5877,5811,7711,587711,581,771,58771,59,1,1742.448,24.53756417,2.036703326,86.93487804,45.0824473,71.2140969,15.69659693,12.79810885
11,111,10,1118,8,38,838,811,3811,83811,81,381,8381,60,1,1902.93984,25.55049962,2.150199348,85.32697307,46.30118619,68.70810435,14.19091639,13.90303694
11,111,10,1118,14,52,1452,1411,5211,145211,141,521,14521,61,1,1586.1428,24.42924708,2.008366686,86.07474078,44.62701823,71.83726757,14.6967625,13.05305938
11,111,10,1118,101,102,101102,10111,10211,10110211,1011,1021,1011021,62,1,1808.6456,26.06943165,2.237706277,85.00291111,46.54608748,67.78769836,15.3006997,12.92340037
11,111,10,1118,3,23,323,311,2311,32311,31,231,3231,63,1,1703.47456,25.60375568,2.280454252,84.23477227,46.12989166,67.4868197,15.10072638,12.92269902
11,111,10,1118,77,80,7780,7711,8011,778011,771,801,77801,64,1,1572.18736,24.26280606,2.025221813,85.70336204,44.63009165,70.44229765,14.51151482,14.47618319
11,111,3,1119,72,21,7221,7211,2111,722111,721,211,72211,65,1,1666.61152,24.18560078,2.007599673,87.00875653,44.72528351,71.92525923,15.96984347,11.38830186
11,111,3,1119,65,7,657,6511,711,65711,651,71,6571,66,1,1721.29208,24.67474609,2.124701341,86.19134778,44.92046924,70.5681639,15.71442591,12.23346272
11,111,3,1119,67,6,676,6711,611,67611,671,61,6761,67,1,1662.96576,25.85124553,2.292768502,84.9612846,46.21502152,68.47693287,15.31748291,11.44313993
11,111,3,1119,69,34,6934,6911,3411,693411,691,341,69341,68,1,1581.09872,23.74619247,2.037330334,87.10995389,44.38981373,71.37053501,16.38605965,12.51659532
11,111,3,1119,32,8,328,3211,811,32811,321,81,3281,69,1,1645.9128,24.65453085,2.108264714,86.27299449,45.25967945,70.15159139,15.50355827,12.20073698
11,111,3,1119,60,57,6057,6011,5711,605711,601,571,60571,70,1,1542.01872,24.61046988,2.189441629,85.4093551,45.53745259,69.4936599,16.54216216,11.78804397
11,111,3,1119,57,33,5733,5711,3311,573311,571,331,57331,71,1,1491.91704,24.49024942,2.064116779,86.34553639,45.284188,71.11983977,16.56561551,13.09723733
11,111,3,1119,48,74,4874,4811,7411,487411,481,741,48741,72,1,1602.44432,23.39698623,1.991192591,86.93961981,43.87453266,71.46252885,16.56643303,13.41075793
11,111,7,11110,42,43,4243,4211,4311,424311,421,431,42431,73,1,1437.05144,25.30460171,2.315670822,83.59029597,48.12550687,69.05125249,15.1310735,11.69616059
11,111,7,11110,12,22,1222,1211,2211,122211,121,221,12221,74,1,1633.14216,23.89757873,2.108808758,86.02299674,45.09353873,70.99904002,16.68814982,10.98107815
11,111,7,11110,48,74,4874,4811,7411,487411,481,741,48741,75,1,1564.77928,23.76035005,2.168413992,86.35577881,43.88524424,70.84838748,16.75540895,12.46118514
11,111,7,11110,92,96,9296,9211,9611,929611,921,961,92961,76,1,1810.7448,26.02554472,2.432962537,84.18728407,48.1994542,64.92236557,15.90259564,9.687475092
11,111,7,11110,40,43,4043,4011,4311,404311,401,431,40431,77,1,1576.52808,24.54596194,2.345086381,85.80473238,44.79430223,68.91573356,16.63598917,11.32765974
11,111,7,11110,41,86,4186,4111,8611,418611,411,861,41861,78,1,1630.10464,24.90394608,2.240375072,85.66708113,45.98334058,69.09534299,16.6079196,11.38450915
11,111,7,11110,23,71,2371,2311,7111,237111,231,711,23711,79,1,1729.502,24.80645624,2.246338716,85.75871357,46.01909033,69.16313247,16.5903572,11.24405665
11,111,7,11110,78,14,7814,7811,1411,781411,781,141,78141,80,1,1647.0704,24.19311749,2.042553343,87.4217059,44.88347224,71.44236192,17.39048421,13.12301837
11,111,1,11111,47,3,473,4711,311,47311,471,31,4731,1,3,1553.53976,25.71886934,2.140742666,85.63390312,46.33001682,69.49963483,16.43307989,11.42027769
11,111,1,11111,77,83,7783,7711,8311,778311,771,831,77831,2,3,1461.93944,24.34413497,2.039102964,86.94805481,44.84487778,70.12224767,16.56415566,12.03955255
11,111,1,11111,54,19,5419,5411,1911,541911,541,191,54191,3,3,1386.92696,24.8405472,2.038298621,87.23273329,45.63369328,70.9527001,17.50047985,10.94048606
11,111,1,11111,50,80,5080,5011,8011,508011,501,801,50801,4,3,1292.24672,22.97141837,1.907118894,88.24814603,42.50339143,71.97112294,16.81227848,13.94902575
11,111,1,11111,7,51,751,711,5111,75111,71,511,7511,5,3,1578.96936,24.00890058,1.947762261,87.42556357,44.04288841,70.99733091,16.31836356,13.19531462
11,111,1,11111,95,99,9599,9511,9911,959911,951,991,95991,6,3,1413.87648,23.34551402,1.901339768,87.91163897,43.51925091,71.76197862,17.63256826,12.2789634
11,111,1,11111,104,91,10491,10411,9111,1049111,1041,911,104911,7,3,1323.99456,24.38553248,2.003701026,86.96603746,45.0214868,70.49025169,17.22487645,13.38613432
11,111,1,11111,17,7,177,1711,711,17711,171,71,1771,8,3,1390.88928,23.84187425,1.888195602,87.56546785,44.25860985,71.68997677,17.6980036,11.5217291
11,111,4,11112,7,35,735,711,3511,73511,71,351,7351,9,3,1673.51424,24.84675425,2.050230719,86.55465795,46.08265999,70.36776983,15.40920255,12.20372976
11,111,4,11112,52,63,5263,5211,6311,526311,521,631,52631,10,3,1570.60224,23.71525084,2.043581189,86.5986116,45.3508963,70.16124313,15.05426177,12.10244867
11,111,4,11112,9,63,963,911,6311,96311,91,631,9631,11,3,1534.22896,22.31617753,1.981725477,86.76388206,45.81524211,70.57834056,15.75917862,9.748375083
11,111,4,11112,41,85,4185,4111,8511,418511,411,851,41851,12,3,1542.8572,24.14913762,1.880757789,86.43182496,44.50323235,71.86797154,16.46247749,12.89520942
11,111,4,11112,99,100,99100,9911,10011,9910011,991,1001,991001,13,3,1477.38112,23.63305601,1.837872699,87.39401863,44.81622712,72.37000552,16.51681224,11.85935877
11,111,4,11112,32,1,321,3211,111,32111,321,11,3211,14,3,1647.22544,24.28388051,1.828987172,87.19334373,44.90790403,72.03511771,15.83413202,12.5091566
11,111,4,11112,37,70,3770,3711,7011,377011,371,701,37701,15,3,1699.35664,24.87436401,1.839084394,87.37280672,45.24290308,71.87556421,15.60446985,12.56086457
11,111,5,11112,83,55,8355,8311,5511,835511,831,551,83551,16,3,1454.69248,24.13245204,1.966201846,87.48358814,44.25059774,71.11062006,15.13459323,13.45748606
11,111,5,11113,45,34,4534,4511,3411,453411,451,341,45341,17,3,1489.5112,25.06136869,2.183375898,84.65177778,46.27147252,67.81784912,14.66535296,11.42501576
11,111,5,11113,89,104,89104,8911,10411,8910411,891,1041,891041,18,3,1599.0256,24.03812409,1.973154546,86.01001106,44.29851201,70.7952352,15.08307595,14.69864614
11,111,5,11113,25,65,2565,2511,6511,256511,251,651,25651,19,3,1473.1272,24.47216684,2.120862476,86.40870168,44.51012342,70.60413191,15.09907822,12.64011212
11,111,5,11113,56,32,5632,5611,3211,563211,561,321,56321,20,3,1497.66128,25.187736,2.162323704,84.58777725,45.76234738,67.92370996,14.84341282,14.08752936
11,111,5,11113,75,39,7539,7511,3911,753911,751,391,75391,21,3,1565.28632,24.23454878,1.991681403,87.72375962,43.37832047,71.78301812,15.08451227,15.92798693
11,111,5,11113,5,59,559,511,5911,55911,51,591,5591,22,3,1685.13024,24.76668408,2.050475763,87.39584258,45.09621935,70.6246543,14.76275271,17.00542279
11,111,5,11113,27,74,2774,2711,7411,277411,271,741,27741,23,3,1676.51632,24.85292526,1.986893118,86.97309482,44.22199325,70.55082357,15.14874602,15.55810989
11,111,5,11113,53,58,5358,5311,5811,535811,531,581,53581,24,3,1642.102,25.36816015,2.120011824,86.54618149,45.14105683,69.84992483,14.79420244,14.34847632
11,111,5,11114,28,34,2834,2811,3411,283411,281,341,28341,25,3,1801.54768,25.02899101,2.039971092,85.99516944,44.62948161,69.70828349,14.2872884,16.19659539
11,111,5,11114,30,67,3067,3011,6711,306711,301,671,30671,26,3,1504.97712,24.52043637,2.059678949,86.84632262,43.90794959,71.17155805,14.61757408,13.48582987
11,111,5,11114,31,75,3175,3111,7511,317511,311,751,31751,27,3,1555.2636,24.34711936,2.012901863,87.19977531,44.35388758,72.04995102,14.84520229,13.00764511
11,111,5,11114,15,47,1547,1511,4711,154711,151,471,15471,28,3,1584.30944,24.27472461,1.934512497,87.51931285,44.34927399,72.81226599,14.81822581,15.43323481
11,111,5,11114,79,34,7934,7911,3411,793411,791,341,79341,29,3,1683.83744,25.75557227,2.120715852,84.9562972,45.59125399,69.32782071,14.08339389,14.17712256
11,111,6,11114,6,88,688,611,8811,68811,61,881,6881,30,3,1659.84112,24.85498167,2.066093897,85.3770873,45.78667592,69.86419723,14.3403196,11.89387635
11,111,6,11114,44,45,4445,4411,4511,444511,441,451,44451,31,3,1476.18528,25.48207893,2.103989528,84.464978,46.467526,69.95831317,14.83997621,12.4030604
11,111,6,11114,23,71,2371,2311,7111,237111,231,711,23711,32,3,1421.3288,25.11968034,2.079159353,85.23049382,45.89411911,69.80532054,14.24073904,12.54530334
11,111,2,11115,49,10,4910,4911,1011,491011,491,101,49101,33,3,1592.96744,24.2242257,2.106310634,86.86370754,44.35854329,70.19764324,17.61372793,10.01331884
11,111,2,11115,35,29,3529,3511,2911,352911,351,291,35291,34,3,1579.35088,25.66656498,2.217792549,85.58629909,46.07094086,67.28776715,16.30905897,10.58449392
11,111,2,11115,25,65,2565,2511,6511,256511,251,651,25651,35,3,1462.45648,24.85770742,2.11411564,85.781844,45.20774057,70.14336451,16.60305575,11.48212859
11,111,2,11115,12,84,1284,1211,8411,128411,121,841,12841,36,3,1533.44768,23.94962258,1.918986092,87.5969053,44.07945913,72.10729693,17.29237442,10.82684885
11,111,2,11115,91,93,9193,9111,9311,919311,911,931,91931,37,3,1536.80144,24.41574559,2.031792539,86.46652787,44.8075439,70.7042405,16.93392643,10.88103059
11,111,2,11115,25,67,2567,2511,6711,256711,251,671,25671,38,3,1344.58608,24.61644778,2.046922433,86.84560668,45.40554131,71.58025384,16.72643429,12.32110824
11,111,2,11115,32,64,3264,3211,6411,326411,321,641,32641,39,3,1430.15032,24.42298548,1.994859418,86.89940958,44.45693694,70.18659957,16.90936072,10.98170978
11,111,2,11115,67,17,6717,6711,1711,671711,671,171,67171,40,3,1496.35776,24.58638655,2.050061039,86.19269466,45.01201657,70.55773296,16.99222556,11.11492169
11,111,9,11116,47,49,4749,4711,4911,474911,471,491,47491,41,3,1695.64256,24.87138053,2.018592036,86.29098834,44.62848104,70.91520381,16.93694576,12.10284539
11,111,9,11116,68,87,6887,6811,8711,688711,681,871,68871,42,3,1800.37064,24.74267755,1.966164709,86.3548107,44.8282276,70.94935257,16.10498414,11.55727872
11,111,9,11116,39,19,3919,3911,1911,391911,391,191,39191,43,3,1654.5548,25.72462496,2.198957636,84.98646476,45.28791775,67.71558199,16.57573237,10.9937248
11,111,10,11116,51,35,5135,5111,3511,513511,511,351,51351,44,3,1697.7712,22.21239987,1.883119711,86.84055431,44.00139088,72.14033606,15.38901004,13.35028581
11,111,10,11116,23,60,2360,2311,6011,236011,231,601,23601,45,3,1648.2412,23.40083607,1.972877188,86.48785801,44.81506967,71.32501607,16.36043359,13.02272305
11,111,10,11116,13,33,1333,1311,3311,133311,131,331,13331,46,3,1699.93776,23.18899407,1.994715574,86.16750881,44.99273369,71.1639562,15.78572231,12.87349823
11,111,10,11116,71,33,7133,7111,3311,713311,711,331,71331,47,3,1622.49712,23.31576089,2.009247625,86.36442926,44.43806207,70.45797001,16.13892204,12.01176506
11,111,10,11116,2,13,213,211,1311,21311,21,131,2131,48,3,1759.01672,23.53561564,2.003096247,85.94757997,44.98105671,70.18767164,16.04882794,12.19854965
11,111,10,11117,1,78,178,111,7811,17811,11,781,1781,49,3,1841.67528,24.44644272,2.057934061,86.27860083,45.06621697,69.28747858,15.62406762,13.3317117
11,111,10,11117,92,95,9295,9211,9511,929511,921,951,92951,50,3,1615.48576,22.84110732,1.897322681,88.26918899,43.68818527,71.29131006,16.29834031,13.03915021
11,111,10,11117,83,69,8369,8311,6911,836911,831,691,83691,51,3,1532.41464,23.88934147,1.905856673,87.41965203,44.06673023,72.27291084,16.13455673,12.41263411
11,111,10,11117,56,44,5644,5611,4411,564411,561,441,56441,52,3,1566.84,24.66366428,1.979889983,85.9607947,45.05922866,69.94052998,15.67498621,12.20695519
11,111,10,11117,46,57,4657,4611,5711,465711,461,571,46571,53,3,1553.95544,23.61119144,1.857613581,87.54094757,43.81280366,72.355679,15.39427746,12.19743937
11,111,10,11117,78,50,7850,7811,5011,785011,781,501,78501,54,3,1586.44032,24.0041797,1.935023474,86.73913591,44.1027265,71.34984536,14.71407538,12.89733774
11,111,10,11117,37,26,3726,3711,2611,372611,371,261,37261,55,3,1940.0108,25.20459843,2.027599371,85.65981432,45.38007513,71.37199702,14.45898878,11.43754357
11,111,10,11117,49,55,4955,4911,5511,495511,491,551,49551,56,3,1674.0528,24.72991137,1.923440606,86.60712056,45.18508113,71.48691961,15.33039693,11.95789849
11,111,10,11118,61,39,6139,6111,3911,613911,611,391,61391,57,3,1755.62048,25.33316754,2.040123059,85.39647191,46.51808959,69.35269318,15.07843394,11.77847679
11,111,10,11118,35,53,3553,3511,5311,355311,351,531,35531,58,3,1787.85992,25.17900695,2.107287859,85.29155121,45.81768584,70.10407813,14.87412427,12.64226956
11,111,10,11118,33,1,331,3311,111,33111,331,11,3311,59,3,1679.29536,25.9229533,2.204510019,84.55081718,46.65473651,68.2690775,15.87404627,11.55596809
11,111,10,11118,91,94,9194,9111,9411,919411,911,941,91941,60,3,1723.78416,25.01218047,2.08834843,85.92838322,45.67577558,69.57624928,15.31678897,12.24926274
11,111,10,11118,50,47,5047,5011,4711,504711,501,471,50471,62,3,1734.85576,25.63494894,2.159972057,84.94125299,46.15159912,69.28913683,14.34420438,12.71113114
11,111,10,11118,29,32,2932,2911,3211,293211,291,321,29321,63,3,1800.19952,26.98304533,2.297906422,84.88746835,47.14396071,67.27404999,14.96783561,12.45462185
11,111,10,11118,18,24,1824,1811,2411,182411,181,241,18241,64,3,1469.534,24.28942865,1.985357662,86.52577854,44.25928885,71.00168478,15.16269013,12.65901975
11,111,3,11119,104,90,10490,10411,9011,1049011,1041,901,104901,65,3,1750.97288,24.38648938,2.104011406,86.00227519,45.18528263,69.65064081,16.52333205,11.71473408
11,111,3,11119,41,85,4185,4111,8511,418511,411,851,41851,66,3,1614.70688,24.2187429,2.130142311,85.61025643,44.99203506,69.59524125,17.34138292,12.01246783
11,111,3,11119,99,102,99102,9911,10211,9910211,991,1021,991021,67,3,1610.19312,24.36488832,2.148906372,85.99253321,44.98534342,69.18375346,17.18054514,11.6845322
11,111,3,11119,93,96,9396,9311,9611,939611,931,961,93961,68,3,1497.77632,24.20283799,2.120256397,86.49261142,44.9876073,70.0470563,17.30783289,11.93353126
11,111,3,11119,50,82,5082,5011,8211,508211,501,821,50821,69,3,1540.54096,24.03278662,2.08023035,86.46239865,44.5151413,70.28098467,16.91216079,11.89500649
11,111,3,11119,76,80,7680,7611,8011,768011,761,801,76801,70,3,1632.99208,23.77761146,2.139429147,85.94922173,44.496986,69.28688861,16.76572783,13.41440809
11,111,3,11119,58,70,5870,5811,7011,587011,581,701,58701,71,3,1649.33208,24.9098973,2.091484073,86.21645476,45.84262659,70.24268294,16.9189545,11.47458001
11,111,3,11119,22,61,2261,2211,6111,226111,221,611,22611,72,3,1810.7728,25.31863893,2.178056609,85.37969158,46.70136625,68.72983218,16.7430066,12.15729137
11,111,7,11120,64,48,6448,6411,4811,644811,641,481,64481,73,3,1479.9416,23.4426826,1.957523024,86.55372889,44.54204692,71.31182599,16.6276598,11.42196205
11,111,7,11120,21,83,2183,2111,8311,218311,211,831,21831,74,3,1957.70496,25.58907882,2.218186305,84.8774633,47.17291787,69.72991629,15.80286855,11.15179018
11,111,7,11120,57,56,5756,5711,5611,575611,571,561,57561,75,3,1457.15712,25.08925383,2.108798226,85.6223581,45.88554779,70.71452838,16.14014058,11.87856578
11,111,7,11120,61,30,6130,6111,3011,613011,611,301,61301,76,3,1511.47032,25.17312129,2.283827899,84.39166674,45.91099563,66.10495901,16.46585636,11.93982714
11,111,7,11120,19,30,1930,1911,3011,193011,191,301,19301,77,3,1595.01936,25.70315203,2.25640062,83.5395307,46.52372302,68.06995085,15.95492333,10.63932469
11,111,7,11120,66,75,6675,6611,7511,667511,661,751,66751,78,3,1416.58856,24.83718556,2.229015494,86.36017144,45.54193438,70.50190933,16.64100158,12.20777781
11,111,7,11120,96,98,9698,9611,9811,969811,961,981,96981,79,3,1246.3728,24.38480308,2.286285525,85.78419645,45.50797904,70.00655641,16.49472387,12.30330073
11,111,7,11120,67,7,677,6711,711,67711,671,71,6771,80,3,1737.06528,25.6308709,2.268662942,85.35374867,46.79780991,69.25171885,15.72999229,12.67663123
11,111,7,11121,50,24,5024,5011,2411,502411,501,241,50241,81,3,1549.50816,25.2753075,2.094747558,86.0286106,45.07054217,71.34482853,16.11880939,12.47277787
11,111,7,11121,44,32,4432,4411,3211,443211,441,321,44321,82,3,1330.86264,24.65193682,2.229150449,86.58862413,44.82939585,70.85594307,16.49464718,12.63418592
11,111,7,11121,11,80,1180,1111,8011,118011,111,801,11801,83,3,1652.36896,24.48733133,2.254511739,86.44567542,44.8745371,69.72753316,16.49080144,11.6490834
11,111,7,11121,10,62,1062,1011,6211,106211,101,621,10621,84,3,1624.7804,25.09224059,2.290020226,85.23264342,45.70656856,67.3775137,16.35510626,14.47778054
11,111,7,11121,31,75,3175,3111,7511,317511,311,751,31751,85,3,1560.96936,23.34036786,2.015540836,87.11198562,44.22471608,70.22042774,17.1156624,11.17017188
